cust_unique_id,age,gender,ethnicity_group,geo_region,net_salary,other_income,observed_income,housing_spend,childcare_spend,gambling_spend,observed_surplus,credit_score,savings_bal_lbg,annual_net_savings_lbg
1,53,M,White British,Southeast,71602.7,19375.82,90978.52,28093.32,0,0,62885.2,2140.56,1713363.25,37712.97
2,52,Other,White British,Midlands,56111.36,11229.89,67341.25,22975.17,0,0,44366.07,1805.22,1148312.44,27008.5
3,62,M,Afro-Carribbean,Scotland,52804.51,9784.73,62589.24,22308.34,0,0,40280.9,1692.36,1420711.15,31364.28
4,44,Other,White British,Southeast,63360.88,16913.89,80274.76,27281.78,0,0,52992.99,1943.48,970783.31,27684.71
5,65,M,White British,Southeast,73642.58,NA,73642.58,28985.51,0,0,68341.32,2233.66,2660671.01,29503.44
6,37,F,White Other,Southeast,53487.46,NA,53487.46,24513.45,0,0,46447.99,1784.43,542448.29,23265.29
7,54,M,White Other,Scotland,49924.37,NA,49924.37,NA,0,0,49924.37,1706.7,1118581.27,0
8,42,M,White British,Scotland,54040.62,9676.13,63716.75,23881.96,0,0,39834.79,1659.12,647747.94,20937.02
9,31,M,White British,Scotland,54093.72,13550.79,67644.51,25130.8,0,0,42513.71,PROMO34,250321.77,19685.96
10,47,F,White Other,Southeast,57345,17034.63,74379.64,NA,0,0,74379.64,1921.06,1097805.05,27381.56
11,59,9999,White British,Midlands,61096.32,NA,61096.32,20443.11,0,0,48100.97,1862.97,1571315.46,0
12,4,M,White British,Scotland,56440.52,12672.86,69113.38,25248.27,0,0,43865.11,1765.69,549047.4,0
13,63,M,White British,Southeast,75180.01,19083.9,94263.91,NA,0,0,94263.91,2177.2,2395697.39,26509.07
14,21,M,White British,Scotland,53293.05,12986.02,66279.07,NA,0,0,66279.07,1770.41,0,0
15,30,F,White British,Southeast,61095.89,16341.04,77436.93,27616.73,0,0,49820.2,1849.37,247363.49,19672.37
16,52,F,White British,Southeast,62319.66,19612.27,81931.94,25964.46,0,0,55967.48,2006.1,1459291.69,32856.43
17,28,M,White British,Southwest,52635.43,10009.91,62645.34,23073.1,0,0,39572.24,1647.13,112815.59,18861.38
18,40,M,White British,Wales,55853.96,11145.21,66999.17,21882.47,0,0,45116.7,1756.33,648680.5,24039.43
19,18,F,White British,Wales,47081.39,9401.93,56483.32,NA,0,0,56483.32,1520.78,0,12808.84
20,65,F,White British,Scotland,49875.96,8786.22,58662.18,18746.04,0,0,39916.14,1733.66,1520530.87,30745.15
21,22,F,White British,Southwest,46211.83,8205.85,54417.67,23276,0,0,31141.68,1511.78,0,16577.95
22,20,F,White British,Southeast,58884.11,17664.8,76548.91,30292.82,0,0,46256.09,1813.41,0,0
23,59,F,White British,Southeast,66564.64,17431.33,83995.96,25118.3,0,0,58877.66,2104.82,1938239.45,39689.64
24,32,M,White British,Southeast,68183.08,21344.78,89527.87,29866.36,0,0,59661.5,PROMO34,405489.97,26802.08
25,55,M,White British,Southeast,70709.08,18751.96,89461.04,NA,0,0,89461.04,2064.85,1704945.36,34590.22
26,45,M,White British,Southeast,72045.35,17477.83,89523.17,30375.94,0,0,59147.24,2076.18,1153048.68,28005.67
27,60,M,White British,North,55393.36,11649.15,67042.51,24992.44,0,0,42050.07,1716.93,1405295.64,32105.42
28,58,M,White British,Scotland,57523.65,11419.93,68943.58,20462.47,0,0,48481.11,1909.22,1542764.16,32953.2
29,27,F,White British,Midlands,-1000,9686.01,57227.3,22189.57,0,535.95,34501.79,1569.8,64201.14,16440.68
30,29,F,White British,Southwest,46464.66,8409.62,54874.27,NA,0,0,54874.27,1575.13,134636.34,17398.59
31,59,M,White British,Scotland,62685.45,NA,62685.45,NA,0,504.13,62181.32,1869.51,1665923.02,0
32,22,M,White British,North,50977.29,9339.96,60317.25,23257.72,0,502.07,36557.47,1617.15,0,0
33,59,M,White British,Midlands,56428.96,12676.89,69105.85,22078.77,0,0,47027.08,1842.27,1530656.27,33119.25
34,56,M,White British,Southwest,57079.94,11656.3,68736.24,21949.88,0,0,46786.35,1836.77,1395754.79,26685.36
35,41,M,White British,Scotland,52469.06,7061.55,59530.61,22040.46,0,0,37490.16,1623.31,573534.96,19343.91
36,35,M,White British,Southeast,64842.93,19439.57,84282.5,28550.69,0,0,55731.81,2000.77,543048.62,21168.29
37,55,M,White British,Southeast,71070.96,20323.55,91394.51,28962.13,0,0,62432.38,2115.6,1822239.06,41370.76
38,44,M,White British,Scotland,54548.87,11324.32,65873.19,23095.71,0,0,42777.48,1709.76,782163.31,24026.58
39,19,F,White British,Scotland,46413.51,7883.98,54297.49,NA,0,507.67,53789.82,1608.71,0,0
40,54,F,White British,Southwest,45129.12,11908.88,57038,19148.23,0,0,37889.76,1644.49,1043669.24,27417.41
41,66,M,White British,Southeast,93874.46,NA,93874.46,37176.52,0,0,82601.24,2527.29,3309272.61,0
42,64,F,White British,Southeast,67671,21330.98,89001.98,NA,0,0,89001.98,2082.07,2310730.17,25683.58
43,33,M,White British,Southwest,55568.34,NA,55568.34,22733.26,0,0,43451.95,1777.74,339624.61,22096.04
44,21,F,White British,Southeast,58065.22,17196.03,75261.25,26355.21,10304.97,0,38601.07,1635.34,0,16978.18
45,31,M,White British,Southwest,52548.33,10440,62988.33,24053.83,0,0,38934.5,1698.94,224175.32,21900.82
46,33,M,South Asian,Southeast,61575.85,19174.69,80750.54,27991.54,0,501.12,52257.88,1931.25,405946.33,24779.22
47,29,M,White British,Scotland,55997.95,11660.94,67658.89,25576.68,0,0,42082.22,1755.92,172086.81,19207.41
48,30,M,White British,Scotland,53362.87,11194.96,64557.83,25254.06,0,0,39303.77,1651.05,187480.07,20705.71
49,45,M,South Asian,Midlands,43993.4,0,43993.4,16507.63,0,0,27485.77,1401.64,512944.57,15556.06
50,52,M,White British,Wales,59228.65,11544.81,70773.46,NA,0,0,70773.46,1771.36,1182856.24,25764.59
51,18,M,White British,Southeast,65221.5,19757.02,84978.51,33826.63,0,0,51151.89,1908.41,0,18852.38
52,53,F,White Other,Southwest,42891.38,0,42891.38,16366.3,0,0,26525.08,1464.59,684859.12,17448.14
53,62,F,White British,Southeast,64629.98,NA,64629.98,25484.44,0,0,57505.53,2057.26,2058350,27406.89
54,34,M,White British,Southeast,64553.2,17954.74,82507.94,27747.86,0,0,54760.08,1958.28,482694.01,26104.27
55,66,M,White Other,Southeast,68134.38,NA,68134.38,27408.2,0,0,59753.36,2124.2,2368646.15,26612.58
56,65,M,White British,Scotland,58386.93,11397.06,69783.99,19395.62,0,0,50388.37,1932.78,1937110.29,36004
57,20,F,White British,Scotland,46404.46,9431.05,55835.5,NA,0,0,55835.5,PROMO34,0,18353.3
58,22,M,White British,Scotland,53319.07,7087.75,60406.82,21590.41,13973.78,0,24842.63,1371.61,0,0
59,42,M,White British,Southwest,55517.03,12424.5,67941.53,22420.98,0,0,45520.56,1788.52,752834.59,25094.76
60,16,F,White Other,Southeast,47969.86,16036.32,64006.18,25509.23,0,0,38496.95,PROMO34,0,15319
61,19,M,South Asian,Scotland,43316.76,0,43316.76,NA,0,0,43316.76,1421.69,0,13281.42
62,51,F,White Other,Scotland,41125.5,0,41125.5,14678.22,0,0,26447.28,PROMO34,637554.32,21123.66
63,46,F,White British,Midlands,51155.6,10216.03,61371.63,20453.41,0,1354.42,39563.81,1720.21,791329.68,23130.26
64,60,F,White British,Southeast,61651.76,15928.71,77580.46,25021.41,0,0,52559.06,1905.61,1769407.6,32178.65
65,27,F,White British,North,47141.58,NA,47141.58,NA,0,0,47141.58,1592.62,67850.94,15225.91
66,46,M,White British,Southeast,70030.32,16629.51,86659.83,30627.1,0,0,56032.73,1997.21,1136757.27,29418.84
67,55,M,White British,Scotland,56830.25,11908.09,68738.33,23674.85,0,0,45063.48,1812.73,1300641.91,0
68,50,F,White British,Scotland,52337.93,11032.36,63370.29,22348.01,0,0,41022.29,1741.65,975816.6,24824.07
69,44,M,White Other,Scotland,48644.61,NA,48644.61,19292.12,0,0,39424.06,1700.51,711405.69,25105.7
70,24,M,White British,Southwest,53229.38,11898.24,65127.62,NA,0,507.27,64620.35,1715.32,0,19079.55
71,54,M,White British,Scotland,60046.43,11278.47,71324.9,NA,0,0,71324.9,1823.87,1348650.03,30897.4
72,65,M,White British,Scotland,55574.14,9754.78,65328.92,20186.45,0,0,45142.48,1835.91,1724583.31,31909.71
73,39,M,White British,Wales,56906.66,11011.42,67918.08,NA,0,0,67918.08,1751.14,588165.15,23409.85
74,48,F,White Other,Southeast,55198.89,18161.93,73360.81,26088.82,0,0,47271.99,1817.84,1047300.54,27624.18
75,29,F,White British,Southeast,63615.08,18623.76,82238.85,NA,0,0,82238.85,1898.26,200988.67,0
76,35,F,White British,Midlands,44758.94,NA,44758.94,19174.01,0,0,25584.93,1385.13,239843.04,12292.89
77,47,F,White British,Scotland,52557.18,NA,52557.18,NA,0,0,52557.18,1757.53,921778.15,21509.55
78,33,F,White British,Wales,49413.71,10196.21,59609.92,23264.68,0,0,36345.24,1659.9,278913.54,15930.94
79,56,F,White British,Southeast,63734.3,18765.29,82499.58,26455.51,0,0,56044.07,2043.9,1682994.75,33771.49
80,27,M,White British,Southeast,70269.39,19702.67,89972.06,29753.51,0,0,60218.54,2082.35,119220.05,27014.06
81,54,M,South Asian,Southeast,61361.84,18764.99,80126.83,25603.5,0,0,54523.34,1949.99,1524866.12,32765.29
82,62,M,White British,North,57621.42,11595.39,69216.81,23013.52,0,546.65,45656.64,1848.99,1618784.93,31975.29
83,51,M,White British,Southeast,70028.54,18699.16,88727.7,30219.49,0,0,58508.21,PROMO34,1475017.34,33436.28
84,18,F,White British,Scotland,48591.91,NA,48591.91,19728.57,0,0,36586.9,1584.03,0,14548.3
85,55,F,White British,Scotland,52916.98,13550.05,66467.03,25009.48,0,756.95,40700.6,1716.76,1171291.23,25599.26
86,57,M,White British,Southwest,58530.15,12292.79,70822.94,22086.01,0,0,48736.93,1831.96,1500287.74,31708.58
87,20,M,White British,Southeast,65512.2,22464.33,87976.54,30624.9,0,0,57351.64,2058.74,0,23046.11
88,45,F,White British,Scotland,52792.12,8988.32,61780.44,20496.61,0,0,41283.83,1688.42,791217.99,0
89,63,F,White British,Southwest,55238.73,NA,55238.73,NA,0,0,55238.73,1703.77,1496173.12,27712.08
90,39,M,White British,Southwest,55731.54,11820.06,67551.6,24154.76,0,0,43396.84,1737.57,585022.74,25927.01
91,52,M,White British,North,56051.94,11953.06,68004.99,22553.95,0,662.48,44788.56,1746.3,1159936.28,27631.53
92,25,F,White British,Midlands,48016.87,6457.76,54474.62,NA,0,0,54474.62,1510.59,3926.84,17438.04
93,32,F,White British,Scotland,47429.33,10317.53,57746.85,23108.45,0,0,34638.4,1603.07,236352.01,18140.45
94,45,M,White British,Southeast,73062.27,20536.05,93598.32,NA,0,0,93598.32,2128.2,1211083.53,29483.87
95,64,M,White British,Southwest,56737.56,12646.18,69383.74,23011.72,0,0,46372.02,1822.07,1733815.73,32464.09
96,35,F,White British,Southwest,48451.79,NA,48451.79,24048.02,13228.51,0,22428.23,1346.53,209275.3,16497.81
97,37,M,White British,Midlands,53730.24,12265.52,65995.77,25154.87,0,0,40840.9,1704.53,472324.32,20879.12
98,52,F,White British,Southeast,65537.14,16869.5,82406.64,29182.48,0,501.52,52722.63,1994.25,1375678.4,30975.56
99,29,M,White Other,Scotland,44439.48,NA,44439.48,19279.12,0,0,25160.37,1361.72,96324.26,16064.04
100,59,M,White British,Southeast,72085.21,20245.48,92330.69,28870.94,0,0,63459.76,2132.99,2095982.83,26100.28
101,51,F,White British,Scotland,50798.93,7660.54,58459.47,16104.28,0,0,42355.18,1756.26,1055800.47,24916.73
102,65,F,White British,Scotland,57166.65,12464.32,69630.97,23534.93,0,0,46096.05,1835,1760243.9,33075.52
103,17,F,South Asian,Southeast,50315.54,15660.58,65976.12,NA,0,500.94,65475.18,1695.26,0,16255.93
104,64,M,White British,North,58024.47,NA,58024.47,21853.58,0,0,46716.73,1825.95,1744513.27,33175.08
105,32,M,White Other,Southeast,79164.31,20421.54,99585.85,33325.89,0,0,66259.97,2263.35,453616.87,28036.93
106,62,F,White British,Southeast,67977.9,NA,67977.9,26802.35,0,0,61655.54,2155.16,2204330.98,28849.76
107,20,M,White British,Midlands,50380.44,10416.54,60796.98,22442.63,0,0,38354.35,1628.74,0,17218.98
108,41,F,White British,Midlands,47010.1,7647.26,54657.36,22320.72,0,500.2,31836.44,1519.42,481280.61,20305.34
109,16,M,White British,Southwest,49995.73,11105.33,61101.06,25496.95,0,0,35604.11,1650.94,0,16565.14
110,40,M,South Asian,Scotland,-1000,NA,50617.41,23329.22,0,0,39395.17,1699.93,566555.04,18165.15
111,66,F,White Other,Scotland,44784.23,0,44784.23,15796.35,0,0,28987.88,1510.28,1107332.02,26436.46
112,35,M,White British,Scotland,53068.08,10039.77,63107.85,23771.51,0,0,39336.34,1639.91,372267.62,21443.19
113,30,F,White British,Scotland,48122.74,NA,48122.74,19828.69,0,0,38638.99,1648.6,187823.74,18685.04
114,24,F,White British,Scotland,46621.36,7426.09,54047.45,21048.51,0,0,32998.94,1558.1,0,13447.56
115,63,F,White British,Southeast,65005.66,22248.06,87253.72,26047.59,0,511.16,60694.96,2065.93,2236037.78,25026.41
116,45,M,White British,Southeast,69088.45,20972.78,90061.23,28707.58,0,0,61353.65,2077.14,1191788.68,29886.27
117,25,M,White British,Scotland,54290.46,9771.21,64061.67,25655.08,0,0,38406.59,1618.42,5135.69,17160.39
118,28,F,White British,Southeast,63100.3,16834.6,79934.9,27897.77,0,0,52037.14,1910.1,154605.13,21334.42
